stem,algo,dimension,score
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,ultra,coverage,1
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,ultra,hierarchy,1
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,ultra,balance,1
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,ultra,conciseness,1
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,ultra,accuracy,1
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,mapreduce,coverage,5
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,mapreduce,hierarchy,5
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,mapreduce,balance,5
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,mapreduce,conciseness,5
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,mapreduce,accuracy,5
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,ultra,coverage,2
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,ultra,hierarchy,1
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,ultra,balance,1
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,ultra,conciseness,1
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,ultra,accuracy,1
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,mapreduce,coverage,5
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,mapreduce,hierarchy,5
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,mapreduce,balance,5
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,mapreduce,conciseness,5
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,mapreduce,accuracy,5
