stem,algo,dimension,score
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,mainrepo,coverage,4
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,mainrepo,hierarchy,4
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,mainrepo,balance,4
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,mainrepo,conciseness,5
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,mainrepo,accuracy,4
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,original,coverage,5
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,original,hierarchy,5
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,original,balance,5
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,original,conciseness,5
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,original,accuracy,5
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,mainrepo,coverage,4
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,mainrepo,hierarchy,5
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,mainrepo,balance,4
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,mainrepo,conciseness,5
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,mainrepo,accuracy,5
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,original,coverage,5
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,original,hierarchy,5
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,original,balance,5
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,original,conciseness,4
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,original,accuracy,5
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,mainrepo,coverage,3
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,mainrepo,hierarchy,4
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,mainrepo,balance,4
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,mainrepo,conciseness,5
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,mainrepo,accuracy,4
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,original,coverage,5
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,original,hierarchy,5
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,original,balance,5
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,original,conciseness,4
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,original,accuracy,5
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,mainrepo,coverage,3
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,mainrepo,hierarchy,4
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,mainrepo,balance,3
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,mainrepo,conciseness,5
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,mainrepo,accuracy,4
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,original,coverage,5
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,original,hierarchy,5
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,original,balance,5
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,original,conciseness,4
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,original,accuracy,5
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,mainrepo,coverage,3
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,mainrepo,hierarchy,4
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,mainrepo,balance,4
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,mainrepo,conciseness,5
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,mainrepo,accuracy,4
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,original,coverage,5
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,original,hierarchy,5
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,original,balance,5
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,original,conciseness,4
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,original,accuracy,5
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,mainrepo,coverage,4
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,mainrepo,hierarchy,4
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,mainrepo,balance,4
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,mainrepo,conciseness,5
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,mainrepo,accuracy,5
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,original,coverage,5
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,original,hierarchy,5
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,original,balance,5
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,original,conciseness,4
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,original,accuracy,5
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,mainrepo,coverage,3
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,mainrepo,hierarchy,4
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,mainrepo,balance,2
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,mainrepo,conciseness,5
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,mainrepo,accuracy,5
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,original,coverage,5
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,original,hierarchy,5
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,original,balance,5
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,original,conciseness,5
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,original,accuracy,5
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,mainrepo,coverage,3
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,mainrepo,hierarchy,4
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,mainrepo,balance,3
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,mainrepo,conciseness,5
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,mainrepo,accuracy,4
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,original,coverage,5
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,original,hierarchy,5
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,original,balance,5
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,original,conciseness,5
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,original,accuracy,5
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,mainrepo,coverage,4
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,mainrepo,hierarchy,3
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,mainrepo,balance,4
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,mainrepo,conciseness,5
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,mainrepo,accuracy,4
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,original,coverage,5
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,original,hierarchy,5
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,original,balance,5
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,original,conciseness,4
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,original,accuracy,5
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,mainrepo,coverage,3
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,mainrepo,hierarchy,3
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,mainrepo,balance,4
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,mainrepo,conciseness,5
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,mainrepo,accuracy,4
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,original,coverage,5
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,original,hierarchy,5
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,original,balance,5
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,original,conciseness,4
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,original,accuracy,5
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,mainrepo,coverage,3
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,mainrepo,hierarchy,4
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,mainrepo,balance,4
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,mainrepo,conciseness,5
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,mainrepo,accuracy,4
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,original,coverage,5
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,original,hierarchy,5
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,original,balance,5
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,original,conciseness,5
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,original,accuracy,5
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,mainrepo,coverage,4
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,mainrepo,hierarchy,4
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,mainrepo,balance,4
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,mainrepo,conciseness,5
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,mainrepo,accuracy,5
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,original,coverage,5
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,original,hierarchy,5
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,original,balance,5
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,original,conciseness,4
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,original,accuracy,5
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,mainrepo,coverage,4
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,mainrepo,hierarchy,4
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,mainrepo,balance,4
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,mainrepo,conciseness,5
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,mainrepo,accuracy,5
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,original,coverage,5
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,original,hierarchy,5
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,original,balance,5
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,original,conciseness,4
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,original,accuracy,5
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,mainrepo,coverage,4
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,mainrepo,hierarchy,4
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,mainrepo,balance,4
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,mainrepo,conciseness,5
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,mainrepo,accuracy,4
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,original,coverage,5
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,original,hierarchy,5
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,original,balance,5
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,original,conciseness,5
